"resource_id","iam_principal","service","charge_type","region","tag_project","tag_owner","tag_name","tag_cluster","cost_usd"
"(no resource id)","(no principal)","ComputeSavingsPlans","SavingsPlanRecurringFee","-","-","-","-","-","14472.000000000093"
"(no resource id)","(no principal)","AWSSupportBusiness","Usage","-","-","-","-","-","2231.6732032613"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/us.anthropic.claude-opus-4-8","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","1352.7043865499998"
"arn:aws:fsx:ap-southeast-1:123456789012:file-system/fs-07d1649df5a697e89","(no principal)","AmazonFSx","Usage","ap-southeast-1","-","-","fsx-ontap-demo-fs","-","1157.008533027399"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-opus-4-6-v1","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","837.7873034999986"
"arn:aws:es:ap-southeast-1:123456789012:domain/os2","(no principal)","AmazonES","Usage","ap-southeast-1","-","-","-","-","712.6900002944969"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/us.anthropic.claude-fable-5","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","690.7490012499999"
"i-0659ecc10fe07a4e4","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-northeast-1","-","-","HeadNode","tokyo-gpu-cpumixed","685.7154099999982"
"arn:aws:elasticfilesystem:us-east-2:123456789012:file-system/fs-0f795a9ddaee0453e","(no principal)","AmazonEFS","Usage","us-east-2","demo-hpc-cluster","research-team","demo-hpc-cluster-dev-efs","-","485.93123639089595"
"i-04b6db800036f0c04","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","team-hpc","owner-b","HeadNode","hpc-demo-cluster-1","472.3567925312001"
"arn:aws:acm-pca:us-west-2:123456789012:certificate-authority/36517b5e-aa34-4063-88c8-e4ab7b86b445","(no principal)","AWSCertificateManager","Usage","us-west-2","-","-","-","-","400.0"
"arn:aws:rds:us-east-1:123456789012:db:mcs-graph-dbinstance1","(no principal)","AmazonNeptune","Usage","us-east-1","-","-","-","-","381.7337991193"
"arn:aws:eks:ap-southeast-1:123456789012:cluster/app-lab","(no principal)","AmazonEKS","Usage","ap-southeast-1","-","-","eksctl-app-lab-cluster/ControlPlane","-","353.39999999999793"
"arn:aws:osis:ap-southeast-1:123456789012:pipeline/s3-ingestion","(no principal)","AmazonES","Usage","ap-southeast-1","-","-","-","-","345.0381927778009"
"arn:aws:kafka:ap-southeast-1:123456789012:cluster/public-accessiable-msk/691e0ea5-228b-4a65-b1b6-5fb44d737dc8-3","(no principal)","AmazonMSK","Usage","ap-southeast-1","-","-","-","-","302.54966668630107"
"arn:aws:neptune-graph:us-west-2:123456789012:graph/g-4htspyqp11","(no principal)","AmazonNeptune","Usage","us-west-2","-","-","-","-","282.72000000000014"
"i-080ab08eefa16b539","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","ap-southeast-1","demo","-","mbot-sg-1","-","281.94973344000016"
"arn:aws:rds:ap-southeast-1:123456789012:db:my-nexus-demo-db-instance-1","(no principal)","AmazonRDS","Usage","ap-southeast-1","-","-","-","-","254.60400000000186"
"arn:aws:network-firewall:ap-southeast-1:123456789012:firewall/vpc-a-distribute-fw","(no principal)","AWSNetworkFirewall","Usage","ap-southeast-1","-","-","-","-","232.6549999999994"
"arn:aws:aoss:us-west-2:123456789012:account/IndexingOCU","(no principal)","AmazonES","Usage","us-west-2","-","-","-","-","212.03999999999974"
"arn:aws:aoss:us-west-2:123456789012:account/SearchOCU","(no principal)","AmazonES","Usage","us-west-2","-","-","-","-","212.03999999999974"
"(no resource id)","(no principal)","AmazonQuickSight","Usage","us-east-1","-","-","-","-","204.51389052499957"
"arn:aws:identitystore:::user/a428d478-40c1-7023-288d-c00cc99e7344","(no principal)","Kiro","FlatRateSubscription","us-east-1","-","-","-","-","199.9999999999991"
"arn:aws:fsx:us-west-2:123456789012:file-system/fs-093cc34bc176a7b16","(no principal)","AmazonFSx","Usage","us-west-2","-","-","fsx-demo-fs","-","180.15859832420085"
"arn:aws:kinesisanalytics:ap-southeast-1:123456789012:application/msk-flink-to-s3-demo","(no principal)","AmazonKinesisAnalytics","Usage","ap-southeast-1","-","-","-","-","167.45719975030082"
"arn:aws:aoss:ap-southeast-1:123456789012:account/IndexingOCU","(no principal)","AmazonES","Usage","ap-southeast-1","-","-","-","-","166.97000000000057"
"arn:aws:aoss:ap-southeast-1:123456789012:account/SearchOCU","(no principal)","AmazonES","Usage","ap-southeast-1","-","-","-","-","166.97000000000057"
